label,cnt
"""100 W Fast Charge",4
"""Input",1
"""USB-C Input/0utput",1
"""USB-C Input/Output",1
- 100 W Fast Charging,1
- Built-in Intelligent E-marker Chip,1
- Hündürlük tənzimlənməsi,1
- Superior Material for Durability,1
- Tilt (meyillənmə,1
- Transfer 1 q File in 30 Seconds,1
- Universal Charging Solution,1
12 V DC (siqaret alışqanı),5
"19"" rels",3
"19"" rels dərinliyi",2
2.4 GHz,1
3.5 mm,1
3D,5
48 V DC,1
480Mbps Data Transfer Rate,4
6.35 mm,1
A type,41
AC + DC giriş,2
AC giriş (Turbo),3
AC rozetka (EU/UK),1
AC rozetkalar,1
AC rozetkalar (EU),2
AC çıxış (EU),1
AC çıxış gücü,5
ADF,22
ADF sürəti (a/q),2
ANC,7
ANC / busylight,1
AP idarəetmə,2
ARC,4
ASIC,1
AVR,11
AWG,12
Acoustic Formula,5
Acoustic system,1
Adapter,16
Adapter gücü,2
Adapter çıxış cərəyanı,3
Adapter/PSU,1
Adapter/pult qoruma,1
Adaptive Sync,14
Additional,1
Additional characteristics,1
Additional external,8
Additional information,13
Additional internal,4
Additionally,13
Adjustable length range,1
Adjustments,10
Aggregate,2
Akkumulyator,1
Akselerasiya,23
Akselerasiya və tezlik,1
Aksesuar,28
Ambient işıq,3
Amount,3
Analoq,2
Angle turns,6
Annual power consumption,2
Anten,23
Antenalar,2
Antenna,6
Antennalar,1
Anti-Ghosting,2
Anti-ghosting,18
App,3
Application,12
Arxa qapı,3
Arxiv ömrü,1
Audio,45
Audio (microphone / headphone ),2
Audio Formatlar,1
Audio adapters included,1
Audio formats supported,1
Audio kanallar,1
Audio kodeklər,1
Audio kodekləri,20
Autentifikasiya,1
Auth,1
Auto-framing,1
Autostart/stop,2
Avto-söndürmə,1
Avtofokus,1
Avtomobil girişi,3
Ayaqlar,1
Aylıq yük,46
Ayırdetmə,2
Ayırdetmə dəqiqliyi,4
Açıq dövrə gərginliyi (Voc),3
Aşkarlama,2
Aşkarlama və Bildiriş,1
BLF,3
BLF / Speed Dial,7
BYOM,1
Backlight color,2
Barkod,30
Barmaq izi,12
Base,1
Basket capacity,2
Batareya,105
Batareya / adapter,65
Batareya gərginliyi,7
Batareya tipi,27
Batareya tutumu,20
Batareya ömrü,3
Batareyalar,2
Battery charge time (AC),1
Battery charging time,8
Battery operated,1
Battery powered,6
Battery warranty,7
Baxış bucaqları,4
Baxış bucağı,22
Baza,3
Baza tezlik,2
Bağlantı,280
Bağlantı qeyd,1
Bağlantı tipi,32
Bağlantı və tətbiq,5
Bel,1
Bildiriş,3
Bluetooth,87
Bluetooth Versiyası,1
Bluetooth · USB,3
Body material,1
Bone conduction sensor,1
Boşalma temperaturu,5
Bracket,3
Branches,5
Brand compatibility,1
Brauzer,4
Brelok deşiyi,4
Brend,88
Brend qeydi,3
Bright,8
Buffer,35
Buffer tipi,4
Built-in speakers,3
Busy light,1
Busylight,2
Busylight / Teams notifications,2
Bypass,10
CAS Gecikməsi,15
CAS latency,38
CPU,48
CPU Power Connector,2
Cable length / distance of use,1
Cable length!,1
Cable type,6
Cable types supported,2
Capacity,3
Carrier,23
Case type,2
Category,2
Cavab,2
Cavab müddəti,27
ChargingTime,1
Ciblər,2
Cihaz interfeysi,3
Cihaz tipi,4
Client,5
Clients / SSID,3
Cold start,4
Cold-start / Auto-restart,2
Color Gamut,1
Color depth,6
Color finish,2
Color keys,2
Colour temperature,1
Combo,2
Combo RJ45 sürətləri,2
Combo jack,1
Compact Foldable Design,1
Compact and Travel-Friendly,1
Compatibility with fasteners VESA,12
Compatible operating systems,2
Conductor type,1
Connecting an external battery,2
Connection,10
Connection options,1
Connection type,3
Connector,3
Contents of delivery,2
Contrast (static),6
Cooling,2
"Cord length, m",7
Coverage,4
Crest factor,5
Crest factor / on-line qoruma,1
Cutting Type,2
Cəm tutum,1
Cərəyan / güc,8
DC-in jack,1
DP Alt Mode,1
DPI,47
DRAM,7
DRAM cache,17
DRAM keş,8
DWPD,36
Dairəvi LED,3
Dalğa,14
Dalğa forması,28
Dalğa forması (batareyada),2
Dalğa uzunluğu,14
Data sürəti,16
Data xətti qorunması,3
Davamlı ötürmə,22
Davamlılıq,13
Daxil,6
Daxil edilən,7
Daxildir,5
Daxili,3
Daxili Mini-SAS,4
Daxili batareya,1
Daxili ekran,6
Daxili kabel,1
Daxili portlar,3
Daxili yaddaş,22
Daxili şarj,3
Daşıma,3
Daşıyıcı,2
Delik tipi,1
Designed for cleaning,7
Destruction,2
Detal,1
Device type,13
Diagonal Size,2
Diameter,2
Diaqnostika,2
Diaqonal,20
Digital tuner,2
Digər,10
Digər I/O,1
Dimension,1
Dimensions ( HxWxD ),16
Dimensions (ShhVhT),17
Dimensions (WxHxD) with Stand,2
Dimensions (WxHxD) without Stand,2
Dimensions front speaker (HxWxD),4
Dimensions in mm (HxWxD),2
Dimensions. mm,1
Dinamik,56
Directivity,7
Disk interfeysi,6
Disk tipi,1
Disk yuvaları,9
Disk yuvası,7
Disk ölçüsü,15
Dispersion angle,1
Display,2
Divar montajı,2
Dizayn,18
Dolby,4
Dolby Audio,4
Doldurma,1
Doldurma müddəti,1
Doldurulan,1
Drayver,1
Driver dimensions,1
Dual connectivity,1
Dual display,1
Dual pairing,2
Dupleks,45
Duplex çap,13
Durable and Flexible,4
Duty cycle,13
Dönmə,22
Düymə,43
Düymə mexanizmi,1
Düymə növü,1
Düymə resursu,3
Düymə sayı,50
Düymə tipi,1
Düymə ömrü,2
Düymələr,11
Dəqiqlik,11
Dərinlik,40
Dəst tərkibi,2
Dəstəklənən çözünürlük,7
EAN,170
ECC,36
ECO mode,2
EMD,1
EPO,2
EPTZ,1
Effective Output Power,7
Ekran,382
Ekran dəstəyi,2
Ekran tipi,5
Ekran ölçüsü,54
Ekranlama,7
Ekvivalent,1
Element tutumu,1
Empedans,33
En,40
Endurance,1
Energy Star,3
Energy Star 2.0 · Zəmanət,1
Energy consumption standard,2
Energy efficiency class,2
Enerji,17
Enerji monitorinqi,3
Enerji mənbəyi,42
Enerji sərfiyyatı,1
Enerji təchizatı,1
Equipment,26
