label,value,cnt
Body material,aluminum,1
Komponent,Server,10
Ölçü,160 × 160 × 47 mm,1
Model,Deco X10 (2-Pack) AX1500 Whole Home Mesh Wi-Fi 6 System,1
Maximum diagonal,"43 """,2
Model,YNDX-00028VIO,1
Model,14202-11,1
Zəmanət,1 il,338
Tip,FortiGate 90 q — desktop NGFW + SD-WAN,1
Color depth,1.07 bn. colors (8-bit + Hi-FRC),1
Düymə sayı,7 ədəd proqramlaşdırıla bilən düymə,1
Rəng,black with orange inserts,1
Tezlik,10–25000 Hz,2
Part number,AP1TBAC237R-1,1
Çəki,"3,3 kq",4
Rəng / dizayn,D07 multicolor,1
Düymələr,20 programmable (2 səhifə → 40 kontakt),1
Model,HP Color LaserJet Pro MFP 4303fdw,1
PSU,12 V/1A,1
İş temp.,−20°C … 50°C,2
Tip,"19"" yerüstü server şkafı (yüksək yük)",1
Çəki,653.3 q,1
Soyutma,Ön üst/alt perforasiya; tavanda 2 fan yeri + 145×70 mm kabel deşiyi,2
Korpus,"Gücləndirilmiş ABS plastik korpus, sürüşməyən rezin altlıqlar",1
MTBF,2 500 000 saat; UBER 1/10¹⁵,4
Model,CAB-CONSOLE-RJ45 (RJ45 to RS232 DB9 Female),1
Part number,21Y6003RFW,1
Anten,4 × inteqrasiya olunmuş omni (2.4 GHz 4 dBi / 5 GHz 5 dBi),1
Tip,Portable / room speakerphone,1
Çəki,0.63 kq,1
Part number,5HH65A,1
Part number,B72W3ET,1
Qabıq materialı,Aluminum,1
Mikrofon,Swivel-to-mute boom,6
Multiple protection such as,"Over charge/Over discharge/Over current/Over power/ Over voltage/Over temperature/Short circuit/Electromagnetic field""",1
Uyğunluq,Jabra Evolve 20–65 seriyası,1
Part number,K0B38AA,1
Material,ABS synthetics,1
Additional internal,✔️,3
Layout,Rus (QWERTY),3
Model,X503,1
Part number,861681-B21,1
Dinamik,"1 genişzolaqlı, 42 mm",7
Ölçülər,357.8 × 233.3 × 20.8–22.8 mm,1
Dərinlik,18–32 düym (457–813 mm),1
LAN,"1 × GE uplink (arxa, PoE in) + 2 × GE client; 1 × 802.3af PSE out (802.3at in tələb edir)",1
Giriş qabı,250 Vərəq,7
Rəng,Qara,207
Update frequency,60 Hz,1
Tip,"Simsiz oyun qulaqlığı (Cloud Stinger Core Wireless, PS)",1
Quraşdırma,Customer Kit,7
Ölçülər,324.3 × 154.0 × 293.0 mm,1
Dizayn,"İtirilməyən qapaq (arxaya taxılır), qayış dəliyi",2
Komplekt,"Lent, kontroller, qida adapteri",1
Part number,452-BDUJ,1
Panel,IPS Black,4
Çəki,10 q,4
Qrafika,Intel Arc Graphics 130 V,8
Portlar,1x HDMI,2
Simsiz (telefon),7.5 W,1
Ekran,"14"" FHD+ (1920×1200), 300 nit",1
Part number,7Y2A2EA,1
Part number,0231A1LS,1
Prosessor,980 MHz,4
PoE,1 × PoE-In · 2 × PoE-Out,2
Ötürmə,83 Mpps,3
ADF,50 Vərəq,9
Part nömrəsi,WAX300H-EU0101F,1
Wi-Fi,Wi-Fi 5,1
Part number,RZ03-04990100-R3M1,1
Model,HP LaserJet Pro MFP 4103fdw,1
Dəstəklənən çözünürlük,3840 x 2160,3
Çıxış (12 V),2.5 A,1
Part number,RZ04-05410100-R3M1,1
Rəng,Bənövşəyi (Magenta),3
Connection options,USB Plug and Play,1
Portlar,1x HDMI; 1x VGA,1
Klaviatura xüsusiyyətləri,"104 düyməli klassik format, maye və toz sıçramasına davamlı konstruksiya, Soft-Touch məxməri örtük, səssiz və yumşaq düymə gedişi",1
Çəki / ölçülər,4.5 kq (9.9 lbs) | 612.3x184.9x475.0 mm,2
Çəki,600 q,7
Ekran,"27"" FHD (1920x1080) IPS (neo 50a 27 Gen 5)",2
Sürət və akselerasiya,"30 IPS izləmə sürəti, 10 q sürətlənmə",1
Çəki (netto),0.639 kq,1
Part number,SP-FG60E-PDC-1,1
Tip,"FortiAP 231K — indoor Wi-Fi 7 Access Point, region E (ETSI)",1
Model,Dell S4520,1
Bypass,Daxili avtomatik + maintenance bypass,2
Ekran,LED,10
Əlavə xüsusiyyətlər,USB-C PD 3.0 divar adapteri; 65 W; 5/9/15/20 V; 1.7 m kabel; 56x28.5x56 mm; 175 q; qara; EU fiş; 1 il zəmanət,1
Material (headband / bowl / ear cups),synthetic leather,1
Batareya / adapter,20000 mAh,1
Düymə ömrü,10 milyon klik,1
Part Number,A1KY5AA,1
Seriya,UGREEN MagSafe / Qi2,1
PXE,Bəli,1
Video,"360°: 5.7K@30/25/24 fps, 4K@60/50/30/25/24 fps; tək linza: 2.8K@60/50/30/25/24 fps. Rejimlər: 360° video, tək linza, timelapse, loop. Codec: H.264. Format: MP4",1
Giriş qabı,2180 Vərəq,1
Şəbəkə,4 × 1GbE (Intel 369i),1
Çəki,130.4 q,2
Equipment,metal ucluq / yumşaq fırça / tüklü mikrofiş,1
Portlar,"USB-C upstream, 2× HDMI 2.1, USB hub",1
Əlavə xüsusiyyətlər,"20000 mAh / 73 Wh; USB-C1 140 W, USB-C2 65 W, USB-A 30 W; ümumi 135 W; PD 3.1; 2.01"" TFT displey; 1.5 m 240 W USB-C kabel; 154x51x39 mm; ~432–452 q",1
Akselerasiya,"SP5 ASIC, TPM, 1U, dual AC (non-hot-swap)",1
İdarəetmə,"Web UI (LACP, VLAN, QoS, IGMP Snooping, ACL, RSTP)",1
Təyinat,Noutbuk / mini PC / ultrabook,2
Part number,2E-SP515M2USBBK,1
Konnektor 1,2 x RCA,2
Model,CM199,1
Düymə sayı,"3 düymə (sol, sağ və diyircək düyməsi)",1
EAN,4549821365043,1
VESA,600 × 400 (divar montajı daxildir),2
Model,W526,1
Forma faktoru,Masaüstü (Desktop) və ya Divara / Şkafa montaj.,1
Xətlər / SIP,16 lines · 16 SIP accounts,2
Model,Dell Pro 14–16 Plus EcoLoop Briefcase CC5626,1
"Çap sürəti (rəng, draft)",16 səh/dəq,7
Uyğunluq,Grandstream switch / cihazlar,1
Dizayn,Kitty ears,3
Enerji,AC,6
Çəki,3.55 kq (stend ilə) / 3.20 kq (stendsiz),1
Ekran,"Monoxrom LED, 45 seqment (saat və emosiyalar)",5
Xüsusiyyətlər,"Green Ethernet enerjiyə qənaət texnologiyası, Kompakt plastik korpus, Fansız səssiz konstruksiya, Plug and Play",1
NGFW,1.5 Gbps,2
Çəki,4.70 kq,1
Ölçü (U×E×H),490 × 135 × 45 mm,1
Uyğunluq,"PowerEdge R450, PowerEdge R650XS",1
OEM kod,CF213A,1
Part number,MR.WTC12U66MN.02,1
Scrolling,vertical,8
Part number,KF548C38BBAK2-32,1
Çəki,"14,1 kq",1
Protokol,SCCP (Cisco Unified Communications Manager - CUCM),1
PCIe,3 × PCIe Gen4-ə qədər,1
Rəng,Açıq mavi (WORM),1
Compatible operating systems,Windows 10/8/7/Vista/XP  MAC OS X and Chrome OS,1
Portlar,"2× HDMI 2.1, DP 1.4, USB hub",2
Oxuma / yazma,6000 / 5000 MB/s,2
Model,HP Spectre x360,1
Portlar,"10 × GE RJ45 (2× WAN, 2× FortiLink A/B, 6× LAN/DMZ) + USB + konsol",2
Qrafika,NVIDIA RTX™ Pro 3000 Blackwell Generation Laptop GPU (12 GB GDDR7 dedi,1
Ölçülər,199 × 163 × 26 mm,2
Qidalanma,100–240 V AC; min 11.5 W; max 23.2 W,1
Ölçü,135 × 36.5 × 8.3 mm,2
LAN,1 × 100 m/1 q/2.5 q/5 q RJ45 + 1 × RS-232 RJ45 konsol,1
Format,Tam ölçülü (Full-size 100%) oyun klaviaturası,1
Rəng,Heather Grey,1
Ölçülər,"195 × 150 mm, 3 mm qalınlıq",2
USB PD (maks.),22.5 W,2
Keçid tutumu,16 Gbps,4
Tip,Rəngli lazer printer,4
Polling,1000 Hz; 650 IPS; 50 q,2
Yaddaş (bu konfiq),"1 × 480 GB SATA RI SSD 2.5"" hot-plug (3.5"" HYB CARR, 1 DWPD)",2
Disk yuvaları,"Maks. 10 × 2.5"" SAS/SATA/NVMe və ya 4 × 3.5""",1
Part number,4X11N40212,1
Konstruksiya,Daxili asqı + qoruyucu rezin,1
Çəki,498 q,1
Model,20503,1
Yük,80 kq (divara montajda),2
Duplex çap,"Avtomatik, 17.5/17 ipm Letter/A4",1
Tip,6-xətli Gigabit Ethernet biznes IP telefonu,1
Part number,64W41AA,1
Baxış bucağı,178°,1
Ölçülər,33 × 124 × 16 mm,2
DRAM cache,8GB,1
İdarəetmə,Neutron ezMaster / EWS wireless switch / lokal Web GUI,2
Part number,ESG510,1
Oxuma sürəti,520 MB/s,3
Görüntü imkanı,2K QHD 4MP (2560 × 1440 px) yüksək detallı təsvir,1
Uyğunluq,"FG-300/301E, 400/401E, 500/501E, 600/601E, 1100/1101E; FAZ-200F/300F/800F; FMG-200F/300F",1
Çəki,4.16–6.86 kq,1
Soyuducu dəstdə,Yox,2
EAN,0190017443973,1
Korpus materialı,plastic / metal aluminium alloy,1
Anten,"12 × inteqrasiya olunmuş omni (2.4: 5 dBi, 5: 6 dBi, 6: 5 dBi), TX 23 dBm",1
En,19.5 mm,1
Material,"XPE köpük, PU, parça; təkrar emal tərkibi ~53%",1
Oxuma sürəti,54000 MB/s,1
Qida,"7–12 V DC, maks. 3.6 W",2
Konfiqurasiya,4096 m x 64,2
Model,Lenovo ThinkVision E24-28,1
Equipment,Napkin 12x12 cm,1
Part number,S0G34A,1
Rəng,white,12
Form faktor,Rack/Tower 5U,1
Part number,2E-MK440WBGR_UA,1
Çipset,Intel Q670,1
Ölçülər,83.6 × 55.25 × 22.2 mm,1
Ötürmə,95 Mpps,2
Çəki,0.23 q,12
Sürətli şarj,5 dəq → 5 saat oxutma · tam doldurma ~90 dəq,2
Model,GS1900-48,1
Ötürmə məsafəsi,Extend Mode rejimində 250 metrə qədər kabel vasitəsilə qidalanma və məlumat ötürülməsi,1
Qeyd,DMO region P/N (NA/XE ekvivalent 006R04820),1
Yazma,"CMR, helium",5
Uyğunluq,ProLiant Rack/Tower/BladeSystem Servers/Synergy,1
Rəng,Qara/qızılı,1
Qrafika,NVIDIA GeForce MX570A 2 GB,2
Random 4K,94000 IOPS oxuma / 41000 IOPS yazma,1
Layout,EN,15
Model,HP Smart Tank 585,1
Rəng,pink,2
Part number,FS-248E-FPOE,1
Format,microSDHC,1
Prosessor,"Intel Core i7-1255U (10 nüvə / 12 axın, 1.7–4.7 GHz, 12 MB keş, 15 W)",2
Extended display identification data (EDID),Bəli,1
Part number,SNV3S/500 q,1
Part number,ST16000NM002H,1
Part number,804394-B21,1
RAM,32 GB DDR5-5600 (2x16 GB),2
Part number,AP4TBAC236B-1,1
PCIe,3 × PCIe Gen4,3
Qida,"12 V adapter, maks. 12 W",1
Yan panellər,"Bütöv, çıxarılan, silindr kilid",2
Xüsusiyyət,ECC Registered,7
Qeyd,DMO region P/N (NA/XE ekvivalent 006R04383),1
Tip,Layer 3 Managed Switch,1
Ekran,"Monoxrom LED, 32 seqment (saat, hava, taymer, emosiyalar)",8
Form faktor,PCIe stand-up,1
EAN,0198415435590,1
Eyni anda cihaz,1,12
Həll / tezlik,"Full HD 1920×1080 — VGA: 60 Hz, HDMI: 75 Hz",1
Turbo,3.40 GHz,1
Qrafika,Intel UHD Graphics 770,2
Part number,21QFS5H200,1
Pattern,Omni,1
Model,HP LaserJet MFP M141cw,1
İş temperaturu,0 - 85 °C,21
Model,F-MM850-550 m-1-25 q,1
Növ,Configure-to-order (CTO) rack server şassi,1
Ölçülər,482 × 42.8 × 735 mm (bezel olmadan),1
Ölçü (H×W×L),40 × 216 × 178 mm,2
Tutum,12 TB,2
Part number,RZ02-04890200-R3M1,1
Qutuda,Backpack; Removable Rubber Patch,1
Seriya,Kingston DC2000B,1
Çəki,5.25 kq-dan (konfiqurasiyadan asılı),1
EAN,4549821575343,1
